Price;Min;Max;Mean;Std.
Open;16.68;2130.36;658.3241772482171;592.2382578256789
High;16.68;2134.72;488.7996458094491;560.8941064712334
Low;16.68;2126.06;482.49938997164054;554.0345110426189
Close;16.68;2130.82;485.8431515114945;557.6849084616406
